subject,block,method,accuracy,itr_bits_min
1,0,CCA,0.175,35.09465151233407
1,0,FBCCA,0.325,101.3454569549014
1,0,TDCA,0.9,518.9270735294228
1,0,ImprovedTDCA(alpha=0.00),0.9,518.9270735294228
1,0,EnsembleImprovedTDCA(alpha=0.00),0.9,518.9270735294228
1,1,CCA,0.125,18.436405221995926
1,1,FBCCA,0.2,44.6013869892241
1,1,TDCA,0.9,518.9270735294228
1,1,ImprovedTDCA(alpha=0.10),0.925,544.9453661215437
1,1,EnsembleImprovedTDCA(alpha=0.00),0.9,518.9270735294228
1,2,CCA,0.2,44.6013869892241
1,2,FBCCA,0.225,54.7858255507327
1,2,TDCA,0.975,602.5358529502963
1,2,ImprovedTDCA(alpha=0.20),0.975,602.5358529502963
1,2,EnsembleImprovedTDCA(alpha=0.10),0.975,602.5358529502963
1,3,CCA,0.125,18.436405221995926
1,3,FBCCA,0.375,127.6941246208191
1,3,TDCA,0.875,494.1226049195982
1,3,ImprovedTDCA(alpha=0.00),0.875,494.1226049195982
1,3,EnsembleImprovedTDCA(alpha=0.50),0.875,494.1226049195982
1,4,CCA,0.1,11.528460518646853
1,4,FBCCA,0.175,35.09465151233407
1,4,TDCA,0.975,602.5358529502963
1,4,ImprovedTDCA(alpha=0.20),0.975,602.5358529502963
1,4,EnsembleImprovedTDCA(alpha=0.10),1.0,638.6313713808927
1,5,CCA,0.075,5.834339797594232
1,5,FBCCA,0.225,54.7858255507327
1,5,TDCA,0.975,602.5358529502963
1,5,ImprovedTDCA(alpha=0.00),0.975,602.5358529502963
1,5,EnsembleImprovedTDCA(alpha=0.00),0.95,572.5513232193952
