subject,block,method,accuracy,itr_bits_min
1,0,TDCA,1.0,79.82892142261159
1,0,ImprovedTDCA(alpha=0.35),1.0,79.82892142261159
1,0,EnsembleImprovedTDCA(alpha=0.20),1.0,79.82892142261159
1,1,TDCA,1.0,79.82892142261159
1,1,ImprovedTDCA(alpha=0.35),1.0,79.82892142261159
1,1,EnsembleImprovedTDCA(alpha=0.20),1.0,79.82892142261159
1,2,TDCA,1.0,79.82892142261159
1,2,ImprovedTDCA(alpha=0.35),1.0,79.82892142261159
1,2,EnsembleImprovedTDCA(alpha=0.20),1.0,79.82892142261159
1,3,TDCA,0.975,75.31698161878704
1,3,ImprovedTDCA(alpha=0.50),0.975,75.31698161878704
1,3,EnsembleImprovedTDCA(alpha=0.35),0.975,75.31698161878704
1,4,TDCA,0.975,75.31698161878704
1,4,ImprovedTDCA(alpha=0.75),0.975,75.31698161878704
1,4,EnsembleImprovedTDCA(alpha=0.75),0.975,75.31698161878704
1,5,TDCA,1.0,79.82892142261159
1,5,ImprovedTDCA(alpha=0.50),1.0,79.82892142261159
1,5,EnsembleImprovedTDCA(alpha=0.50),1.0,79.82892142261159
