window_sec,block,method,accuracy,mean_margin,itr_bits_min
0.3,0,TDCA,0.875,0.7396031060741619,823.537674865997
0.3,0,ImprovedTDCA,0.875,0.8908802201797638,823.537674865997
0.3,0,AdaptiveFB-TDCA,0.8,0.78210232767955,708.5839112455101
0.3,0,MultiDelay-TDCA,0.875,0.7693028222793095,823.537674865997
0.3,0,RA-TDCA,0.875,0.7395627052584292,823.537674865997
0.3,0,Riemann-TDCA-Fusion,0.625,0.5688034436800434,477.0936519778108
0.3,0,RiemannMDM,0.025,0.3860110057459444,0.0
0.3,1,TDCA,0.8,0.7486137720990694,708.5839112455101
0.3,1,ImprovedTDCA,0.875,0.9368691267978715,823.537674865997
0.3,1,AdaptiveFB-TDCA,0.85,0.8438893679663007,783.855491468325
0.3,1,MultiDelay-TDCA,0.825,0.782260394749495,745.5933743059824
0.3,1,RA-TDCA,0.8,0.7486182094028061,708.5839112455101
0.3,1,Riemann-TDCA-Fusion,0.7,0.7407171282006989,571.003305999599
0.3,1,RiemannMDM,0.025,0.3076778240373689,0.0
0.3,2,TDCA,0.875,0.7263355404936191,823.537674865997
0.3,2,ImprovedTDCA,0.95,0.9181017295582384,954.2522053656586
0.3,2,AdaptiveFB-TDCA,0.825,0.7941214020655701,745.5933743059824
0.3,2,MultiDelay-TDCA,0.9,0.7397829359298125,864.8784558823714
0.3,2,RA-TDCA,0.875,0.7263407501177185,823.537674865997
0.3,2,Riemann-TDCA-Fusion,0.75,0.7229792742796084,637.8598831425336
0.3,2,RiemannMDM,0.025,0.2950557105939842,0.0
0.3,3,TDCA,0.8,0.6353406640923274,708.5839112455101
0.3,3,ImprovedTDCA,0.8,0.808975972260417,708.5839112455101
0.3,3,AdaptiveFB-TDCA,0.675,0.6992155571480619,538.8872502451933
0.3,3,MultiDelay-TDCA,0.825,0.6480675459131304,745.5933743059824
0.3,3,RA-TDCA,0.8,0.6353240108475251,708.5839112455101
0.3,3,Riemann-TDCA-Fusion,0.65,0.6368026044329048,507.5938525820171
0.3,3,RiemannMDM,0.0,0.3233527543412677,7.30517519781877
0.3,4,TDCA,0.875,0.7313781148195284,823.537674865997
0.3,4,ImprovedTDCA,0.8,0.8527037791721351,708.5839112455101
0.3,4,AdaptiveFB-TDCA,0.85,0.8670933302590459,783.855491468325
0.3,4,MultiDelay-TDCA,0.875,0.7537849743163154,823.537674865997
0.3,4,RA-TDCA,0.875,0.7313660961820683,823.537674865997
0.3,4,Riemann-TDCA-Fusion,0.625,0.5757917827859729,477.0936519778108
0.3,4,RiemannMDM,0.0,0.33533927478418446,7.30517519781877
0.3,5,TDCA,0.875,0.7511531150615742,823.537674865997
0.3,5,ImprovedTDCA,0.9,0.847078678143788,864.8784558823714
0.3,5,AdaptiveFB-TDCA,0.85,0.8235691284219107,783.855491468325
0.3,5,MultiDelay-TDCA,0.875,0.7701346605767126,823.537674865997
0.3,5,RA-TDCA,0.875,0.751140409869309,823.537674865997
0.3,5,Riemann-TDCA-Fusion,0.725,0.7529338715151909,603.9788612811258
0.3,5,RiemannMDM,0.05,0.38975956862561384,2.8798059704541856
0.5,0,TDCA,0.9,1.1305698057728755,518.9270735294228
0.5,0,ImprovedTDCA,0.9,1.2266752133279164,518.9270735294228
0.5,0,AdaptiveFB-TDCA,0.9,1.2583190016904848,518.9270735294228
0.5,0,MultiDelay-TDCA,0.9,1.14363374197376,518.9270735294228
0.5,0,RA-TDCA,0.9,1.1305619363825277,518.9270735294228
0.5,0,Riemann-TDCA-Fusion,0.875,1.1071957024963142,494.1226049195982
0.5,0,RiemannMDM,0.025,0.31433798271711,0.0
