window_sec,block,method,accuracy,mean_margin,itr_bits_min
0.3,0,TDCA,0.875,0.7396031060741619,823.537674865997
0.3,0,ImprovedTDCA,0.875,0.8908802201797638,823.537674865997
0.3,0,TRCA,0.25,0.2947947796285306,109.31966125630856
0.3,0,FBTRCA,0.725,0.7719231083546995,603.9788612811258
0.3,0,TDCA-FBTRCA,0.825,0.8965376812138736,745.5933743059824
0.3,0,TriBranchTDCA,0.825,0.9854437494864918,745.5933743059824
0.3,1,TDCA,0.8,0.7486137720990694,708.5839112455101
0.3,1,ImprovedTDCA,0.875,0.9368691267978715,823.537674865997
0.3,1,TRCA,0.3,0.37771685884239603,148.17112849061937
0.3,1,FBTRCA,0.75,0.7647721531317837,637.8598831425336
0.3,1,TDCA-FBTRCA,0.9,0.9596004604216795,864.8784558823714
0.3,1,TriBranchTDCA,0.875,1.0202182057160765,823.537674865997
0.3,2,TDCA,0.875,0.7263355404936191,823.537674865997
0.3,2,ImprovedTDCA,0.95,0.9181017295582384,954.2522053656586
0.3,2,TRCA,0.275,0.284041138362657,128.29266158352334
0.3,2,FBTRCA,0.875,0.7842197542154905,823.537674865997
0.3,2,TDCA-FBTRCA,0.975,0.9628529167796689,1004.2264215838272
0.3,2,TriBranchTDCA,1.0,1.0631559309668475,1064.3856189681546
0.3,3,TDCA,0.8,0.6353406640923274,708.5839112455101
0.3,3,ImprovedTDCA,0.8,0.808975972260417,708.5839112455101
0.3,3,TRCA,0.225,0.23868858257914277,91.30970925122118
0.3,3,FBTRCA,0.65,0.6407110689925424,507.5938525820171
0.3,3,TDCA-FBTRCA,0.725,0.8720836770878269,603.9788612811258
0.3,3,TriBranchTDCA,0.8,0.919755556621484,708.5839112455101
0.3,4,TDCA,0.875,0.7313781148195284,823.537674865997
0.3,4,ImprovedTDCA,0.8,0.8527037791721351,708.5839112455101
0.3,4,TRCA,0.2,0.2379614688069321,74.33564498204018
0.3,4,FBTRCA,0.7,0.7656874053693572,571.003305999599
0.3,4,TDCA-FBTRCA,0.9,0.8847731456269831,864.8784558823714
0.3,4,TriBranchTDCA,0.85,0.9523001895449648,783.855491468325
0.3,5,TDCA,0.875,0.7511531150615742,823.537674865997
0.3,5,ImprovedTDCA,0.9,0.847078678143788,864.8784558823714
0.3,5,TRCA,0.25,0.26372509839608654,109.31966125630856
0.3,5,FBTRCA,0.75,0.8135844580572643,637.8598831425336
0.3,5,TDCA-FBTRCA,0.875,0.929033414113926,823.537674865997
0.3,5,TriBranchTDCA,0.875,0.9678528188931554,823.537674865997
0.5,0,TDCA,0.9,1.1305698057728755,518.9270735294228
0.5,0,ImprovedTDCA,0.9,1.2266752133279164,518.9270735294228
0.5,0,TRCA,0.325,0.3546500727029776,101.3454569549014
0.5,0,FBTRCA,0.875,1.2063999758615065,494.1226049195982
0.5,0,TDCA-FBTRCA,0.925,1.400498379223891,544.9453661215437
0.5,0,TriBranchTDCA,0.925,1.4744242507817606,544.9453661215437
0.5,1,TDCA,0.9,1.0711577483712489,518.9270735294228
0.5,1,ImprovedTDCA,0.925,1.2457321803842014,544.9453661215437
0.5,1,TRCA,0.25,0.4008460133148799,65.59179675378513
0.5,1,FBTRCA,0.825,1.2730471792307092,447.3560245835894
0.5,1,TDCA-FBTRCA,0.9,1.4255198973332504,518.9270735294228
0.5,1,TriBranchTDCA,0.9,1.497928553580582,518.9270735294228
0.5,2,TDCA,0.975,1.2309306631905783,602.5358529502963
0.5,2,ImprovedTDCA,0.975,1.5186711116446339,602.5358529502963
0.5,2,TRCA,0.35,0.3494192450556608,114.28183167016918
