subject,window_sec,block,method,accuracy,mean_margin,median_margin,min_margin,itr_bits_min
1,0.3,0,TDCA,0.875,0.7396031060741619,0.562343378850231,0.07454085446275549,823.537674865997
1,0.3,0,ImprovedTDCA,0.875,0.8908802201797638,0.8510282082463528,0.015048623904794667,823.537674865997
1,0.3,1,TDCA,0.8,0.7486137720990694,0.7605386408948088,0.0313188648964382,708.5839112455101
1,0.3,1,ImprovedTDCA,0.875,0.9368691267978715,0.8412481547452145,0.031229736612199854,823.537674865997
1,0.3,2,TDCA,0.875,0.7263355404936191,0.686851356541381,0.002531040470986401,823.537674865997
1,0.3,2,ImprovedTDCA,0.95,0.9181017295582384,0.8102513489168228,0.01744020687532366,954.2522053656586
1,0.3,3,TDCA,0.8,0.6353406640923274,0.5442461462448949,0.0027184101107380343,708.5839112455101
1,0.3,3,ImprovedTDCA,0.8,0.808975972260417,0.7190460833409996,0.014496301027383085,708.5839112455101
1,0.3,4,TDCA,0.875,0.7313781148195284,0.5755712715091224,0.03403672718598383,823.537674865997
1,0.3,4,ImprovedTDCA,0.8,0.8527037791721351,0.6209073162466484,0.032595244691513425,708.5839112455101
1,0.3,5,TDCA,0.875,0.7511531150615742,0.7001701635340201,0.07961981478303892,823.537674865997
1,0.3,5,ImprovedTDCA,0.9,0.847078678143788,0.7225761847384687,0.12294950525429194,864.8784558823714
1,0.4,0,TDCA,0.875,0.931684445321476,0.8480518402558448,0.023965305394461733,617.6532561494977
1,0.4,0,ImprovedTDCA,0.85,1.1294841725576537,1.1101219254828996,0.08671785062514381,587.8916186012437
1,0.4,1,TDCA,0.85,0.875310084529058,0.8514530564697755,0.03824774582160262,587.8916186012437
1,0.4,1,ImprovedTDCA,0.925,1.0923611432765454,1.0870695217350779,0.07751417924224757,681.1817076519295
1,0.4,2,TDCA,0.925,0.9907550099512727,0.9607489235311024,0.014685692819442764,681.1817076519295
1,0.4,2,ImprovedTDCA,0.9,1.1924305376804314,1.2007231167479953,0.06135880925512893,648.6588419117785
1,0.4,3,TDCA,0.925,0.9514007927695622,0.9839662240029097,0.004127293980452196,681.1817076519295
1,0.4,3,ImprovedTDCA,0.875,1.1601941608571653,1.195012425533335,0.02143120015147515,617.6532561494977
1,0.4,4,TDCA,0.95,0.9288035779207364,0.9061111205468328,0.07324743439122705,715.6891540242439
1,0.4,4,ImprovedTDCA,0.85,1.095924816438324,1.005754288826798,0.028761234055201257,587.8916186012437
1,0.4,5,TDCA,0.9,0.9385437638053997,0.8467826078899772,0.07504284610097534,648.6588419117785
1,0.4,5,ImprovedTDCA,0.9,1.0966536800568665,1.1101303959922508,0.1086676060866627,648.6588419117785
1,0.5,0,TDCA,0.9,1.1305698057728755,1.114186089396441,0.03493875761698684,518.9270735294228
1,0.5,0,ImprovedTDCA,0.9,1.2266752133279164,1.3954118936811601,0.1008575882747702,518.9270735294228
1,0.5,1,TDCA,0.9,1.0711577483712489,0.9215579723368992,0.16274256131623388,518.9270735294228
1,0.5,1,ImprovedTDCA,0.925,1.2457321803842014,1.1256580386312625,0.0945316087450161,544.9453661215437
1,0.5,2,TDCA,0.975,1.2309306631905783,1.2343855554970333,0.02493939946427126,602.5358529502963
1,0.5,2,ImprovedTDCA,0.975,1.5186711116446339,1.5335155885666594,0.007544728566723613,602.5358529502963
1,0.5,3,TDCA,0.875,1.225686965431341,1.2819750505996508,0.014908600400293626,494.1226049195982
1,0.5,3,ImprovedTDCA,0.875,1.3264246728169737,1.3871377378064045,0.11348456754145109,494.1226049195982
1,0.5,4,TDCA,0.975,1.1750223744137238,1.1758463975390967,0.12603385470994932,602.5358529502963
