window_sec,snr_db,method,accuracy,accuracy_std_across_blocks,mean_margin,itr_bits_min
0.5,0.0,ImprovedTDCA,0.1708333333333333,0.06967184988692827,0.4054411076222782,36.43905290133743
0.5,0.0,TDCA,0.14166666666666666,0.04377975178854566,0.3296120850319528,24.831043891634902
0.5,5.0,ImprovedTDCA,0.41250000000000003,0.11152354011597733,0.4816378564358939,152.44616092120344
0.5,5.0,TDCA,0.35000000000000003,0.06519202405202648,0.46804840393164243,115.64282202214702
0.5,10.0,ImprovedTDCA,0.6916666666666668,0.07359800721939874,0.6672225931717274,337.94085784264826
0.5,10.0,TDCA,0.6083333333333333,0.09574271077563382,0.6065924448180252,277.1622670414777
0.5,20.0,ImprovedTDCA,0.9249999999999999,0.05000000000000001,1.1841316933386523,547.0844472637856
0.5,20.0,TDCA,0.9041666666666667,0.0579151678463135,1.0294861985937795,526.1048225475404
1.0,0.0,ImprovedTDCA,0.4083333333333334,0.07359800721939873,0.5134517721627405,73.96102791463687
1.0,0.0,TDCA,0.225,0.03535533905932738,0.3928883085273791,27.652923608910225
1.0,5.0,ImprovedTDCA,0.6333333333333333,0.06055300708194985,0.8193549357063735,146.74444697515347
1.0,5.0,TDCA,0.5916666666666667,0.08755950357709127,0.6387841128960473,132.42539972344233
1.0,10.0,ImprovedTDCA,0.8875000000000001,0.0627495019900557,1.4786209382040372,254.52580310811
1.0,10.0,TDCA,0.8583333333333334,0.040824829046386304,1.1075818250413725,239.5965168692861
1.0,20.0,ImprovedTDCA,0.975,0.01581138830084191,2.4982421648307382,301.7771755334561
1.0,20.0,TDCA,0.9791666666666666,0.010206207261596644,2.0021888882384595,304.27588634436455
