window_sec,method,accuracy,accuracy_std_across_blocks,mean_margin,median_margin,min_margin,itr_bits_min
0.3,ImprovedTDCA,0.8666666666666667,0.05845225972250057,0.8757682510187023,0.7608428827057511,0.038959936394251105,813.8956389118407
0.3,TDCA,0.85,0.038729833462074155,0.72207071877338,0.6382868262624096,0.037460951984990144,785.2197536591681
0.4,ImprovedTDCA,0.8833333333333333,0.030276503540974952,1.127841418477831,1.1181352790530594,0.0640751465693099,628.6559808045786
0.4,TDCA,0.9041666666666667,0.036799003609699336,0.9360829457162508,0.8995189621160739,0.03821938641802695,655.3760476651038
0.5,ImprovedTDCA,0.9375,0.04401704215414751,1.3189409030816555,1.3710621526067837,0.07656954259073918,560.9337672369089
0.5,TDCA,0.9333333333333332,0.046547466812563096,1.155110161424179,1.143198097299831,0.06155915034668643,556.5973851382222
0.8,ImprovedTDCA,0.975,0.022360679774997914,2.0624044548696063,2.1460721366561866,0.1948001597611314,377.85803073970504
0.8,TDCA,0.975,0.022360679774997914,1.7857158804935942,1.7900785319828296,0.19032486583678085,377.85803073970504
1.0,ImprovedTDCA,0.9916666666666667,0.012909944487358074,2.716009678771295,2.7917805637813315,0.4160569667161817,313.2997659520136
1.0,TDCA,0.9916666666666667,0.012909944487358074,2.1904796872886503,2.2322929136593053,0.24840706386085562,313.2997659520136
